Timestamp,FAM1,FAM2,FAM3,FOR1,FOR2,FOR3,NOL1,NOL2,NOL3,NOMUSIC,EXP1,EXP2,EXP3,EXP4,EXP5,EXP6,EXP7,EXP8,EXP9,EXP10
0,1.0,5.0,7.0,4.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,4.0,4.0,1.0,4.0,5.0,7.0,6.0,7.0,5.0
1,6.0,2.0,1.0,3.0,4.0,4.0,1.0,5.0,5.0,7.0,7.0,1.0,6.0,3.0,5.0,2.0,4.0,1.0,5.0,4.0
2,8.0,6.0,5.0,4.0,2.0,5.0,4.0,3.0,5.0,8.0,8.0,4.0,4.0,8.0,2.0,3.0,6.0,5.0,5.0,5.0
3,8.0,4.0,10.0,6.0,7.0,7.0,5.0,4.0,3.0,6.0,6.0,5.0,8.0,6.0,4.0,7.0,4.0,7.0,3.0,10.0
4,7.0,6.0,2.0,6.0,6.0,4.0,6.0,4.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,4.0,2.0,4.0,7.0
5,4.0,4.0,2.0,5.0,8.0,3.0,6.0,6.0,1.0,4.0,4.0,5.0,6.0,4.0,8.0,6.0,4.0,1.0,2.0,3.0
6,2.0,4.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
7,2.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
8,7.0,5.0,4.0,3.0,6.0,2.0,6.0,2.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,5.0,2.0,4.0,2.0,5.0
9,5.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0
10,9.0,3.0,3.0,2.0,4.0,1.0,3.0,7.0,4.0,5.0,5.0,3.0,2.0,9.0,4.0,7.0,3.0,4.0,3.0,1.0
11,3.0,4.0,4.0,6.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,3.0,2.0,2.0,1.0,4.0,1.0,5.0,4.0
12,2.0,7.0,4.0,2.0,4.0,1.0,4.0,4.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,4.0,1.0,7.0
13,5.0,2.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,6.0,5.0
14,5.0,8.0,5.0,7.0,4.0,4.0,5.0,4.0,3.0,9.0,9.0,5.0,7.0,5.0,4.0,8.0,4.0,4.0,5.0,3.0
15,2.0,5.0,7.0,3.0,4.0,7.0,2.0,4.0,6.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,7.0,6.0,7.0
16,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0
17,5.0,4.0,3.0,4.0,5.0,6.0,4.0,1.0,2.0,8.0,8.0,4.0,5.0,4.0,4.0,1.0,5.0,2.0,3.0,6.0
18,2.0,3.0,4.0,4.0,5.0,2.0,2.0,4.0,7.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,7.0
19,4.0,7.0,4.0,1.0,0.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,7.0,0.0,4.0,2.0,4.0
20,3.0,7.0,3.0,5.0,7.0,7.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,3.0,4.0,7.0,7.0,4.0,3.0,7.0
21,3.0,1.0,4.0,7.0,2.0,0.0,1.0,5.0,2.0,5.0,5.0,3.0,1.0,7.0,5.0,1.0,2.0,2.0,0.0,4.0
22,2.0,3.0,8.0,6.0,7.0,3.0,6.0,3.0,7.0,5.0,5.0,2.0,6.0,6.0,3.0,7.0,3.0,8.0,7.0,3.0
23,2.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,1.0,3.0,3.0,5.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0
24,3.0,5.0,5.0,2.0,6.0,3.0,6.0,4.0,1.0,7.0,7.0,3.0,2.0,6.0,5.0,6.0,4.0,3.0,1.0,5.0
25,6.0,6.0,9.0,4.0,4.0,10.0,7.0,7.0,5.0,4.0,4.0,6.0,4.0,7.0,4.0,7.0,6.0,10.0,9.0,5.0
26,6.0,2.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,6.0,1.0,5.0,2.0,1.0,5.0,3.0
27,2.0,6.0,4.0,1.0,3.0,6.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,6.0,6.0,3.0,4.0
28,4.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0
29,4.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,2.0,2.0,3.0,2.0
